Hour,Solar (MW),BESS flow (MW),SOC (MWh),Energy served (MW)
0,0.011786628985910203,99.988213,672.98346,100.0
1,45.077207557990704,54.922792,615.16999,100.0
2,116.14588723976203,-16.145888,632.16567,100.0
3,177.13697874008417,-77.136979,713.36249,100.0
4,220.45687119380463,-120.45687,840.15919,100.0
5,242.35586796560526,-142.35587,990.00748,100.0
6,241.10985530575897,-141.10986,1138.5442,100.0
7,216.81427352515897,-116.81427,1261.5066,100.0
8,171.39076922823944,-71.39077,1336.6547,100.0
9,108.84656980789607,-8.8465702,1345.9669,100.0
10,37.61830331397402,62.381697,1280.302,100.0
11,0.0,100.0,1175.0388,100.0
12,0.0,100.0,1069.7757,100.0
13,0.0,100.0,964.5125,100.0
14,0.0,100.0,859.24934,100.0
15,0.0,100.0,753.98619,100.0
16,0.0,100.0,648.72303,100.0
17,0.0,100.0,543.45987,100.0
18,0.0,100.0,438.19671,100.0
19,0.0,100.0,332.93355,100.0
20,0.0,100.0,227.6704,100.0
21,0.0,100.0,122.40724,100.0
22,0.0,58.143438,61.203619,58.143438
23,0.0,29.071719,30.60181,29.071719
24,0.007877545636910226,-0.0078775457,30.610102,0.0
25,44.852915088454075,14.539798,15.305051,59.392714
26,116.0595141422493,-16.059515,32.209803,100.0
27,177.2307947924191,-77.230795,113.50538,100.0
28,220.7459396638636,-120.74594,240.60637,100.0
29,242.8413767828661,-142.84138,390.96571,100.0
30,241.77912069795283,-141.77912,540.20689,100.0
31,217.64028339967177,-117.64028,664.03877,100.0
32,172.33067138047122,-72.330672,740.17632,100.0
33,109.8322419910595,-9.8322424,750.52605,100.0
34,38.477702039852474,61.522298,685.76574,100.0
35,0.0,100.0,580.50258,100.0
36,0.0,100.0,475.23942,100.0
37,0.0,100.0,369.97626,100.0
38,0.0,100.0,264.7131,100.0
39,0.0,100.0,159.44995,100.0
40,0.0,75.738725,79.724973,75.738725
41,0.0,37.869362,39.862487,37.869362
42,0.0,18.934681,19.931243,18.934681
43,0.0,9.4673406,9.9656217,9.4673406
44,0.0,4.7336703,4.9828108,4.7336703
45,0.0,2.3668351,2.4914054,2.3668351
46,0.0,1.1834176,1.2457027,1.1834176
47,0.0,0.59170879,0.62285135,0.59170879
48,0.004757263799666596,-0.0047572638,0.627859,0.0
49,44.654023808049274,0.29823303,0.3139295,44.952257
50,116.00374981954407,-16.00375,17.159982,100.0
51,177.35705208067708,-77.357053,98.588459,100.0
52,221.06769794572608,-121.0677,226.02814,100.0
53,243.35857795361798,-143.35858,376.93191,100.0
54,242.47801155824925,-142.47801,526.90876,100.0
55,218.4929741119325,-118.49297,651.63821,100.0
56,173.2936846845708,-73.293685,728.78946,100.0
57,110.83724833065982,-10.837249,740.19709,100.0
58,39.35433541114609,60.645664,676.35955,100.0
59,0.0,100.0,571.09639,100.0
60,0.0,100.0,465.83323,100.0
61,0.0,100.0,360.57007,100.0
62,0.0,100.0,255.30692,100.0
63,0.0,100.0,150.04376,100.0
64,0.0,-0.0,150.04376,0.0
65,0.0,71.270786,75.021879,71.270786
66,0.0,35.635393,37.51094,35.635393
67,0.0,17.817696,18.75547,17.817696
68,0.0,8.9088482,9.3777349,8.9088482
69,0.0,4.4544241,4.6888675,4.4544241
70,0.0,2.227212,2.3444337,2.227212
71,0.0,1.113606,1.1722169,1.113606
72,0.002274698109133739,-0.0022746981,1.1746113,0.0
73,44.48082390304461,0.55794036,0.58730564,45.038764
74,115.97881994241101,-15.97882,17.407117,100.0
75,177.5158131634057,-77.515814,99.00271,100.0
76,221.42203047759077,-121.42203,226.81537,100.0
77,243.90718155872773,-143.90718,378.29662,100.0
78,243.20608101320585,-143.20608,529.03986,100.0
79,219.37177185224232,-119.37177,654.69436,100.0
80,174.27915154998152,-74.279152,732.88294,100.0
81,111.86091109419692,-11.860912,745.36811,100.0
82,40.247647164489386,59.752353,682.4709,100.0
83,0.0,100.0,577.20774,100.0
84,0.0,100.0,471.94458,100.0
85,0.0,100.0,366.68143,100.0
86,0.0,100.0,261.41827,100.0
87,0.0,100.0,156.15511,100.0
88,0.0,74.173677,78.077555,74.173677
89,0.0,37.086839,39.038777,37.086839
90,0.0,18.543419,19.519389,18.543419
91,0.0,9.2717096,9.7596944,9.2717096
92,0.0,4.6358548,4.8798472,4.6358548
93,0.0,2.3179274,2.4399236,2.3179274
94,0.0,1.1589637,1.2199618,1.1589637
95,0.0,0.57948185,0.6099809,0.57948185
96,0.00030457031100817374,-0.00030457031,0.6103015,0.0
97,44.333589689212516,0.28989321,0.30515075,44.623483
98,115.98492384007453,-15.984924,17.131387,100.0
99,177.70711200687737,-77.707113,98.928348,100.0
100,221.8087937368864,-121.80879,227.14813,100.0
101,244.48687226156014,-144.48687,379.23958,100.0
102,243.9628607343342,-143.96286,530.77943,100.0
103,220.2760862906385,-120.27609,657.38584,100.0
104,175.28640309898995,-75.286404,736.63468,100.0
105,112.90254526312886,-12.902546,750.21631,100.0
