Hour,Solar (MW),Charge (MW),Discharge (MW),SOC (MWh),Energy Served (MW)
0,14.777048858900974,0.0,85.222951,44262.523,100.0
1,91.37776170176639,0.0,8.6222376,44252.942,100.0
2,162.52722025029925,62.527222,0.0,44309.217,100.0
3,212.8140967198896,112.8141,0.0,44410.75,100.0
4,237.2806879813567,137.28069,0.0,44534.302,100.0
5,233.89935659729844,133.89936,0.0,44654.812,100.0
6,202.94178531464513,102.94179,0.0,44747.459,100.0
7,147.03103300150931,47.031034,0.0,44789.787,100.0
8,72.23214705616051,0.0,27.767852,44758.934,100.0
9,3.345153566674102,0.0,96.654846,44651.54,100.0
10,0.0,0.0,100.0,44540.429,100.0
11,0.0,0.0,100.0,44429.317,100.0
12,0.0,0.0,100.0,44318.206,100.0
13,0.0,0.0,100.0,44207.095,100.0
14,0.0,0.0,100.0,44095.984,100.0
15,0.0,0.0,100.0,43984.873,100.0
16,0.0,0.0,100.0,43873.762,100.0
17,0.0,0.0,100.0,43762.651,100.0
18,0.0,0.0,100.0,43651.54,100.0
19,0.0,0.0,100.0,43540.429,100.0
20,0.0,0.0,100.0,43429.317,100.0
21,0.0,0.0,100.0,43318.206,100.0
22,0.0,0.0,100.0,43207.095,100.0
23,0.0,0.0,100.0,43095.984,100.0
24,14.508910621726871,0.0,85.491089,43000.994,100.0
25,91.0431872269622,0.0,8.956812,42991.042,100.0
26,162.35187604249492,62.351877,0.0,43047.159,100.0
27,212.8510920788013,112.85109,0.0,43148.725,100.0
28,237.5453615942155,137.54536,0.0,43272.516,100.0
29,234.38508891659288,134.38509,0.0,43393.462,100.0
30,203.6243712425486,103.62437,0.0,43486.724,100.0
31,147.86968015049914,47.869681,0.0,43529.807,100.0
32,73.14965573497619,0.0,26.850344,43499.973,100.0
33,3.719178058563243,0.0,96.280822,43392.994,100.0
34,0.0,0.0,100.0,43281.883,100.0
35,0.0,0.0,100.0,43170.772,100.0
36,0.0,0.0,100.0,43059.661,100.0
37,0.0,0.0,100.0,42948.55,100.0
38,0.0,0.0,100.0,42837.439,100.0
39,0.0,0.0,100.0,42726.328,100.0
40,0.0,0.0,100.0,42615.217,100.0
41,0.0,0.0,100.0,42504.105,100.0
42,0.0,0.0,100.0,42392.994,100.0
43,0.0,0.0,100.0,42281.883,100.0
44,0.0,0.0,100.0,42170.772,100.0
45,0.0,0.0,100.0,42059.661,100.0
46,0.0,0.0,100.0,41948.55,100.0
47,0.0,0.0,100.0,41837.439,100.0
48,14.278487205743586,0.0,85.721513,41742.193,100.0
49,90.76561587439943,0.0,9.2343834,41731.932,100.0
50,162.23680210859487,62.236803,0.0,41787.945,100.0
51,212.94875177087198,112.94875,0.0,41889.599,100.0
52,237.86938906715352,137.86939,0.0,42013.682,100.0
53,234.92746400584056,134.92747,0.0,42135.116,100.0
54,204.35965798851942,104.35966,0.0,42229.04,100.0
55,148.75588141117942,48.755883,0.0,42272.92,100.0
56,74.10779463611871,0.0,25.892205,42244.151,100.0
57,4.1260162697938645,0.0,95.873984,42137.625,100.0
58,0.0,0.0,100.0,42026.514,100.0
59,0.0,0.0,100.0,41915.402,100.0
60,0.0,0.0,100.0,41804.291,100.0
61,0.0,0.0,100.0,41693.18,100.0
62,0.0,0.0,100.0,41582.069,100.0
63,0.0,0.0,100.0,41470.958,100.0
64,0.0,0.0,100.0,41359.847,100.0
65,0.0,0.0,100.0,41248.736,100.0
66,0.0,0.0,100.0,41137.625,100.0
67,0.0,0.0,100.0,41026.514,100.0
68,0.0,0.0,100.0,40915.402,100.0
69,0.0,0.0,100.0,40804.291,100.0
70,0.0,0.0,100.0,40693.18,100.0
71,0.0,0.0,100.0,40582.069,100.0
72,14.085163406466817,0.0,85.914836,40486.608,100.0
73,90.54503775870802,0.0,9.4549615,40476.103,100.0
