Tech,Availability,Renewable_cap,BESS_energy,LCOE
Wind+BESS,0.05,0.09,0.0,86.08
Wind+BESS,0.1,0.17,0.0,81.32
Wind+BESS,0.15,0.26,0.0,82.9
Wind+BESS,0.2,0.34,0.0,81.32
Wind+BESS,0.25,0.43,0.0,82.27
Wind+BESS,0.3,0.51,0.0,81.32
Wind+BESS,0.35,0.6,0.0,82.0
Wind+BESS,0.4,0.68,0.0,81.32
Wind+BESS,0.45,0.77,0.0,81.85
Wind+BESS,0.5,0.85,0.0,81.32
Wind+BESS,0.55,0.94,0.0,81.75
Wind+BESS,0.6,1.02,0.0,81.32
Wind+BESS,0.65,1.14,0.0,83.88
Wind+BESS,0.7,1.3,0.22,89.23
Wind+BESS,0.75,1.45,2.17,96.11
Wind+BESS,0.8,1.61,5.4,104.6
Wind+BESS,0.85,1.79,10.25,115.13
Wind+BESS,0.9,1.98,18.55,128.61
Wind+BESS,0.95,2.39,27.03,151.8
Wind+BESS,1.0,3.73,71.31,251.2
Solar+BESS,0.05,0.38,0.0,64.74
Solar+BESS,0.1,0.76,0.0,64.74
Solar+BESS,0.15,1.14,0.0,64.74
Solar+BESS,0.2,1.66,0.0,70.66
Solar+BESS,0.25,2.14,1.36,82.5
Solar+BESS,0.3,2.57,3.31,91.68
Solar+BESS,0.35,3.0,5.39,98.37
Solar+BESS,0.4,3.44,7.55,103.82
Solar+BESS,0.45,3.86,9.97,108.13
Solar+BESS,0.5,4.29,12.31,111.7
Solar+BESS,0.55,4.76,14.5,115.08
Solar+BESS,0.6,5.4,15.79,118.95
Solar+BESS,0.65,6.18,17.72,124.69
Solar+BESS,0.7,7.08,19.98,132.2
Solar+BESS,0.75,7.98,24.15,141.98
Solar+BESS,0.8,9.56,27.69,156.83
Solar+BESS,0.85,11.69,35.35,180.41
Solar+BESS,0.9,14.57,45.53,214.69
Solar+BESS,0.95,19.91,62.97,274.34
Solar+BESS,1.0,31.69,253.34,545.8
