year,cap_low_gwh,cap_central_gwh,cap_high_gwh,cost_low_kwh,cost_central_kwh,cost_high_kwh
2024,170.9262128730828,170.9273970054353,170.92811516679527,181.27973585553218,181.2792822334656,181.27900711947862
2025,331.3310147993538,331.42718105383227,331.48557756897185,142.73131175369835,142.7163511378111,142.70726925593357
2026,641.1291584470063,641.7742361984853,642.1664399216,112.45204998744067,112.41120939564232,112.38640584528417
2027,1236.3621871969938,1239.5176454202824,1241.4410311117758,88.70564483263396,88.62401106660667,88.57439045534129
2028,2368.7006475392823,2382.1382796060316,2390.3705788638213,70.1389754844026,69.99580458054993,69.90863566098294
2029,4482.607484592405,4535.123456774862,4567.610327592837,55.70546969998191,55.47160265771959,55.32876778909478
2030,8293.685098194554,8484.063824569126,8603.96918396453,44.6043713747843,44.24021552484512,44.01652068504274
2031,14751.295280524322,15381.645055097259,15791.326685889397,36.228136301216274,35.68468964140346,35.34747960630194
2032,24622.911943614276,26460.440481345264,27716.21053089281,30.10746815110119,29.334843189538073,28.847636523404613
2033,37567.80805106253,42062.813280685084,45357.78100298465,25.846478350230893,24.81261181497483,24.145806431596377
2034,51511.94734646965,60406.087912048344,67479.97603558509,23.061249555269043,21.771943636061,20.918246057822763
2035,63682.8550473116,77901.64404867173,90117.95483980759,21.360453646006086,19.860775918967246,18.842763544984383
2036,72503.45880744583,91558.40978163286,108941.73916343812,20.38268901852068,18.73514252076853,17.594921895757775
2037,78071.36827908915,100644.88671867679,122074.98912278138,19.845169420937353,18.10563567077043,16.88620470737228
2038,81285.55731274092,106065.8365220933,130156.52203315542,19.55806561248496,17.765773523822897,16.499711062688085
2039,83046.00430469948,109091.90515264835,134751.1399767674,19.40728330995522,17.586169784638535,16.29424412936628
2040,83982.53743278031,110718.67726038494,137246.5084204413,19.32883061877394,17.49239583122583,16.186606801700055
