year,cap_low_gwh,cap_central_gwh,cap_high_gwh,cost_central_kwh,cost_cap_high_cost_kwh,cost_cap_low_cost_kwh,cost_lr_high_cost_kwh,cost_lr_low_cost_kwh
2025,331.3310147993538,331.42718105383227,331.48557756897185,142.71635113781105,142.7313117536984,142.70726925593362,189.9543424125819,107.22553969233122
2026,641.1291584470063,641.7742361984853,642.1664399216,112.41120939564233,112.45204998744066,112.38640584528424,154.66673871727082,81.70004813310207
2027,1236.3621871969938,1239.5176454202824,1241.4410311117758,88.62401106660661,88.705644832634,88.57439045534133,126.12027866762678,62.27559453965965
2028,2368.7006475392823,2382.1382796060316,2390.3705788638213,69.99580458054992,70.1389754844026,69.90863566098295,103.0512581115882,47.5434531189638
2029,4482.607484592405,4535.123456774862,4567.610327592837,55.471602657719565,55.70546969998192,55.328767789094805,84.47803469083364,36.42483768327775
2030,8293.685098194554,8484.063824569126,8603.96918396453,44.24021552484512,44.6043713747843,44.01652068504274,69.64637026886454,28.101919197355695
2031,14751.295280524322,15381.645055097259,15791.326685889397,35.684689641403445,36.22813630121627,35.34747960630194,57.98752524318779,21.959845147088455
2032,24622.911943614276,26460.440481345264,27716.21053089281,29.334843189538063,30.10746815110119,28.847636523404613,49.07395459178846,17.53543263657787
2033,37567.80805106253,42062.813280685084,45357.78100298465,24.812611814974836,25.846478350230893,24.14580643159638,42.55547807881729,14.467366667585082
2034,51511.94734646965,60406.087912048344,67479.97603558509,21.771943636060996,23.061249555269043,20.91824605782276,38.07554882255517,12.449394541911863
2035,63682.8550473116,77901.64404867173,90117.95483980759,19.86077591896725,21.360453646006086,18.84276354498438,35.21313924341846,11.201796504898505
2036,72503.45880744583,91558.40978163286,108941.73916343812,18.735142520768527,20.382689018520672,17.594921895757768,33.50842790273807,10.475142739979967
2037,78071.36827908915,100644.88671867679,122074.98912278138,18.10563567077043,19.845169420937353,16.886204707372272,32.54853206588872,10.071546156953353
2038,81285.55731274092,106065.8365220933,130156.52203315542,17.765773523822897,19.558065612484945,16.499711062688075,32.02825949897726,9.854507045874447
2039,83046.00430469948,109091.90515264835,134751.1399767674,17.586169784638525,19.407283309955222,16.294244129366273,31.75272435134661,9.740057711961871
2040,83982.53743278031,110718.67726038494,137246.5084204413,17.492395831225828,19.32883061877393,16.186606801700055,31.608698325625564,9.680370534848052
