year,installed_cap_gwh,bess_capex_kwh
2010.0,0.08624799999999999,2571.375212530797
2011.0,0.08440049999999999,2131.5560375567497
2012.0,0.4550586500000001,2010.2174742980148
2013.0,0.33359759199999994,1654.9654274697496
2014.0,0.5331247776,1741.6323691352845
2015.0,1.600614002,1544.0
2016.0,2.0824867240324,1102.0
2017.0,2.9586932122532046,789.6881345568803
2018.0,7.479646805131655,710.7194070929554
2019.0,6.9462370816461805,333.0806213254458
2020.0,11.823204476146302,299.87928163058496
2021.0,21.731501187554947,281.83617824427876
2022.0,37.55100067473784,357.0255061711696
2023.0,96.0660141964724,271.8039369761331
2024.0,169.00754102908382,191.58663089180507
2025.0,203.0,170.4
2026.0,243.0,159.6
2027.0,292.0,149.4
2028.0,350.0,139.9
2029.0,421.0,131.0
2030.0,505.0,122.6
2031.0,606.0,114.8
2032.0,727.0,107.5
2033.0,872.0,100.6
2034.0,1046.0,94.2
2035.0,1256.0,88.2
2036.0,1507.0,82.6
2037.0,1808.0,77.3
2038.0,2170.0,72.4
2039.0,2604.0,67.8
2040.0,3125.0,63.5
