year,P10_cost,P50_cost,P90_cost
2025,108.1632556780655,142.94042173619977,186.295508308696
2026,83.52377518344505,112.40571098991808,148.94544721689164
2027,64.50284539753955,88.64244100004944,119.44914470722496
2028,49.941133491563626,69.91262404700441,96.39610774413931
2029,38.63256964060083,55.47610520547967,78.02232105226157
2030,30.223725620992173,44.20650055588209,63.51640033714582
2031,23.869116095235594,35.67909067543222,52.39877375586133
2032,19.2809984271407,29.36589692082256,43.90230624340467
2033,16.067907842030788,24.882667669221185,37.68443772564068
2034,13.899232023864078,21.783412660158156,33.53331194268834
2035,12.557756080135764,19.88917887872702,30.960769534260844
2036,11.829117231650631,18.72511800387567,29.413759706304923
2037,11.370570847496968,18.090267863681078,28.54106206847658
2038,11.136057451271416,17.731318749507636,28.047065648520714
2039,11.00137182909206,17.553543850154306,27.790937674826726
2040,10.923877595816492,17.46383007088542,27.671638603108704
