# Renewables.ninja Wind power (Point API) - 52.751, 2.102 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Etc/GMT, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Etc/GMT"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""52.750955651561526"""," ""lon"": ""2.1015502280767553"""," ""date_from"": ""2023-01-01"""," ""date_to"": ""2023-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity,,,,,,,,,,,
01/01/2023 00:00,01/01/2023 00:00,0.983,,,,,,,,,,,
01/01/2023 01:00,01/01/2023 01:00,0.973,,,,,,,,,,,
01/01/2023 02:00,01/01/2023 02:00,0.962,,,,,,,,,,,
01/01/2023 03:00,01/01/2023 03:00,0.964,,,,,,,,,,,
01/01/2023 04:00,01/01/2023 04:00,0.968,,,,,,,,,,,
01/01/2023 05:00,01/01/2023 05:00,0.966,,,,,,,,,,,
01/01/2023 06:00,01/01/2023 06:00,0.962,,,,,,,,,,,
01/01/2023 07:00,01/01/2023 07:00,0.961,,,,,,,,,,,
01/01/2023 08:00,01/01/2023 08:00,0.96,,,,,,,,,,,
01/01/2023 09:00,01/01/2023 09:00,0.951,,,,,,,,,,,
01/01/2023 10:00,01/01/2023 10:00,0.941,,,,,,,,,,,
01/01/2023 11:00,01/01/2023 11:00,0.935,,,,,,,,,,,
01/01/2023 12:00,01/01/2023 12:00,0.927,,,,,,,,,,,
01/01/2023 13:00,01/01/2023 13:00,0.915,,,,,,,,,,,
01/01/2023 14:00,01/01/2023 14:00,0.89,,,,,,,,,,,
01/01/2023 15:00,01/01/2023 15:00,0.865,,,,,,,,,,,
01/01/2023 16:00,01/01/2023 16:00,0.858,,,,,,,,,,,
01/01/2023 17:00,01/01/2023 17:00,0.87,,,,,,,,,,,
01/01/2023 18:00,01/01/2023 18:00,0.881,,,,,,,,,,,
01/01/2023 19:00,01/01/2023 19:00,0.857,,,,,,,,,,,
01/01/2023 20:00,01/01/2023 20:00,0.737,,,,,,,,,,,
01/01/2023 21:00,01/01/2023 21:00,0.566,,,,,,,,,,,
01/01/2023 22:00,01/01/2023 22:00,0.422,,,,,,,,,,,
01/01/2023 23:00,01/01/2023 23:00,0.302,,,,,,,,,,,
02/01/2023 00:00,02/01/2023 00:00,0.255,,,,,,,,,,,
02/01/2023 01:00,02/01/2023 01:00,0.223,,,,,,,,,,,
02/01/2023 02:00,02/01/2023 02:00,0.2,,,,,,,,,,,
02/01/2023 03:00,02/01/2023 03:00,0.243,,,,,,,,,,,
02/01/2023 04:00,02/01/2023 04:00,0.325,,,,,,,,,,,
02/01/2023 05:00,02/01/2023 05:00,0.403,,,,,,,,,,,
02/01/2023 06:00,02/01/2023 06:00,0.475,,,,,,,,,,,
02/01/2023 07:00,02/01/2023 07:00,0.532,,,,,,,,,,,
02/01/2023 08:00,02/01/2023 08:00,0.583,,,,,,,,,,,
02/01/2023 09:00,02/01/2023 09:00,0.635,,,,,,,,,,,
02/01/2023 10:00,02/01/2023 10:00,0.663,,,,,,,,,,,
02/01/2023 11:00,02/01/2023 11:00,0.665,,,,,,,,,,,
02/01/2023 12:00,02/01/2023 12:00,0.666,,,,,,,,,,,
02/01/2023 13:00,02/01/2023 13:00,0.672,,,,,,,,,,,
02/01/2023 14:00,02/01/2023 14:00,0.672,,,,,,,,,,,
02/01/2023 15:00,02/01/2023 15:00,0.663,,,,,,,,,,,
02/01/2023 16:00,02/01/2023 16:00,0.622,,,,,,,,,,,
02/01/2023 17:00,02/01/2023 17:00,0.551,,,,,,,,,,,
02/01/2023 18:00,02/01/2023 18:00,0.468,,,,,,,,,,,
02/01/2023 19:00,02/01/2023 19:00,0.403,,,,,,,,,,,
02/01/2023 20:00,02/01/2023 20:00,0.361,,,,,,,,,,,
02/01/2023 21:00,02/01/2023 21:00,0.32,,,,,,,,,,,
02/01/2023 22:00,02/01/2023 22:00,0.27,,,,,,,,,,,
02/01/2023 23:00,02/01/2023 23:00,0.237,,,,,,,,,,,
03/01/2023 00:00,03/01/2023 00:00,0.221,,,,,,,,,,,
03/01/2023 01:00,03/01/2023 01:00,0.217,,,,,,,,,,,
03/01/2023 02:00,03/01/2023 02:00,0.223,,,,,,,,,,,
03/01/2023 03:00,03/01/2023 03:00,0.256,,,,,,,,,,,
03/01/2023 04:00,03/01/2023 04:00,0.367,,,,,,,,,,,
03/01/2023 05:00,03/01/2023 05:00,0.535,,,,,,,,,,,
03/01/2023 06:00,03/01/2023 06:00,0.697,,,,,,,,,,,
03/01/2023 07:00,03/01/2023 07:00,0.785,,,,,,,,,,,
03/01/2023 08:00,03/01/2023 08:00,0.819,,,,,,,,,,,
03/01/2023 09:00,03/01/2023 09:00,0.844,,,,,,,,,,,
03/01/2023 10:00,03/01/2023 10:00,0.883,,,,,,,,,,,
03/01/2023 11:00,03/01/2023 11:00,0.917,,,,,,,,,,,
03/01/2023 12:00,03/01/2023 12:00,0.959,,,,,,,,,,,
03/01/2023 13:00,03/01/2023 13:00,0.98,,,,,,,,,,,
03/01/2023 14:00,03/01/2023 14:00,0.988,,,,,,,,,,,
03/01/2023 15:00,03/01/2023 15:00,0.986,,,,,,,,,,,
03/01/2023 16:00,03/01/2023 16:00,0.988,,,,,,,,,,,
03/01/2023 17:00,03/01/2023 17:00,0.99,,,,,,,,,,,
03/01/2023 18:00,03/01/2023 18:00,0.991,,,,,,,,,,,
03/01/2023 19:00,03/01/2023 19:00,0.991,,,,,,,,,,,
03/01/2023 20:00,03/01/2023 20:00,0.984,,,,,,,,,,,
03/01/2023 21:00,03/01/2023 21:00,0.981,,,,,,,,,,,
03/01/2023 22:00,03/01/2023 22:00,0.99,,,,,,,,,,,
03/01/2023 23:00,03/01/2023 23:00,0.991,,,,,,,,,,,
04/01/2023 00:00,04/01/2023 00:00,0.991,,,,,,,,,,,
04/01/2023 01:00,04/01/2023 01:00,0.991,,,,,,,,,,,
04/01/2023 02:00,04/01/2023 02:00,0.991,,,,,,,,,,,
04/01/2023 03:00,04/01/2023 03:00,0.991,,,,,,,,,,,
04/01/2023 04:00,04/01/2023 04:00,0.991,,,,,,,,,,,
04/01/2023 05:00,04/01/2023 05:00,0.991,,,,,,,,,,,
04/01/2023 06:00,04/01/2023 06:00,0.991,,,,,,,,,,,
04/01/2023 07:00,04/01/2023 07:00,0.991,,,,,,,,,,,
04/01/2023 08:00,04/01/2023 08:00,0.99,,,,,,,,,,,
04/01/2023 09:00,04/01/2023 09:00,0.986,,,,,,,,,,,
04/01/2023 10:00,04/01/2023 10:00,0.986,,,,,,,,,,,
04/01/2023 11:00,04/01/2023 11:00,0.987,,,,,,,,,,,
04/01/2023 12:00,04/01/2023 12:00,0.986,,,,,,,,,,,
04/01/2023 13:00,04/01/2023 13:00,0.985,,,,,,,,,,,
04/01/2023 14:00,04/01/2023 14:00,0.982,,,,,,,,,,,
04/01/2023 15:00,04/01/2023 15:00,0.978,,,,,,,,,,,
04/01/2023 16:00,04/01/2023 16:00,0.975,,,,,,,,,,,
04/01/2023 17:00,04/01/2023 17:00,0.974,,,,,,,,,,,
04/01/2023 18:00,04/01/2023 18:00,0.973,,,,,,,,,,,
04/01/2023 19:00,04/01/2023 19:00,0.973,,,,,,,,,,,
04/01/2023 20:00,04/01/2023 20:00,0.975,,,,,,,,,,,
04/01/2023 21:00,04/01/2023 21:00,0.974,,,,,,,,,,,
04/01/2023 22:00,04/01/2023 22:00,0.966,,,,,,,,,,,
04/01/2023 23:00,04/01/2023 23:00,0.958,,,,,,,,,,,
05/01/2023 00:00,05/01/2023 00:00,0.955,,,,,,,,,,,
05/01/2023 01:00,05/01/2023 01:00,0.951,,,,,,,,,,,
05/01/2023 02:00,05/01/2023 02:00,0.941,,,,,,,,,,,
05/01/2023 03:00,05/01/2023 03:00,0.923,,,,,,,,,,,
05/01/2023 04:00,05/01/2023 04:00,0.9,,,,,,,,,,,
05/01/2023 05:00,05/01/2023 05:00,0.871,,,,,,,,,,,
05/01/2023 06:00,05/01/2023 06:00,0.831,,,,,,,,,,,
05/01/2023 07:00,05/01/2023 07:00,0.792,,,,,,,,,,,
05/01/2023 08:00,05/01/2023 08:00,0.757,,,,,,,,,,,
05/01/2023 09:00,05/01/2023 09:00,0.703,,,,,,,,,,,
05/01/2023 10:00,05/01/2023 10:00,0.623,,,,,,,,,,,
05/01/2023 11:00,05/01/2023 11:00,0.57,,,,,,,,,,,
05/01/2023 12:00,05/01/2023 12:00,0.575,,,,,,,,,,,
05/01/2023 13:00,05/01/2023 13:00,0.647,,,,,,,,,,,
05/01/2023 14:00,05/01/2023 14:00,0.711,,,,,,,,,,,
05/01/2023 15:00,05/01/2023 15:00,0.783,,,,,,,,,,,
05/01/2023 16:00,05/01/2023 16:00,0.84,,,,,,,,,,,
05/01/2023 17:00,05/01/2023 17:00,0.866,,,,,,,,,,,
05/01/2023 18:00,05/01/2023 18:00,0.886,,,,,,,,,,,
05/01/2023 19:00,05/01/2023 19:00,0.906,,,,,,,,,,,
05/01/2023 20:00,05/01/2023 20:00,0.92,,,,,,,,,,,
05/01/2023 21:00,05/01/2023 21:00,0.94,,,,,,,,,,,
05/01/2023 22:00,05/01/2023 22:00,0.977,,,,,,,,,,,
05/01/2023 23:00,05/01/2023 23:00,0.986,,,,,,,,,,,
06/01/2023 00:00,06/01/2023 00:00,0.989,,,,,,,,,,,
06/01/2023 01:00,06/01/2023 01:00,0.989,,,,,,,,,,,
06/01/2023 02:00,06/01/2023 02:00,0.986,,,,,,,,,,,
06/01/2023 03:00,06/01/2023 03:00,0.975,,,,,,,,,,,
