entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
"World",,true,"2000","Solar",false,1.03,0.01,0.17,,,,
"World",,true,"2001","Solar",false,1.37,0.01,0.22,0.34,33.01,0,0.05
"World",,true,"2002","Solar",false,1.71,0.01,0.27,0.34,24.82,0,0.05
"World",,true,"2003","Solar",false,2.1,0.01,0.33,0.39,22.81,0,0.06
"World",,true,"2004","Solar",false,2.78,0.02,0.43,0.68,32.38,0.01,0.1
"World",,true,"2005","Solar",false,3.94,0.02,0.6,1.16,41.73,0,0.18
"World",,true,"2006","Solar",false,5.41,0.03,0.81,1.47,37.31,0.01,0.22
"World",,true,"2007","Solar",false,7.28,0.04,1.08,1.87,34.57,0.01,0.28
"World",,true,"2008","Solar",false,11.84,0.06,1.73,4.56,62.64,0.02,0.67
"World",,true,"2009","Solar",false,19.81,0.1,2.86,7.97,67.31,0.04,1.15
"World",,true,"2010","Solar",false,32.21,0.15,4.59,12.4,62.59,0.05,1.77
"World",,true,"2011","Solar",false,63.61,0.29,8.95,31.4,97.49,0.14,4.42
"World",,true,"2012","Solar",false,96.98,0.43,13.47,33.37,52.46,0.14,4.63
"World",,true,"2013","Solar",false,131.95,0.57,18.1,34.97,36.06,0.14,4.8
"World",,true,"2014","Solar",false,197.75,0.83,26.79,65.8,49.87,0.26,8.92
"World",,true,"2015","Solar",false,256.39,1.07,34.33,58.64,29.65,0.24,7.85
"World",,true,"2016","Solar",false,327.76,1.33,43.37,71.37,27.84,0.26,9.44
"World",,true,"2017","Solar",false,445.72,1.75,58.31,117.96,35.99,0.42,15.43
"World",,true,"2018","Solar",false,574.84,2.17,74.38,129.12,28.97,0.42,16.71
"World",,true,"2019","Solar",false,705.45,2.63,90.33,130.61,22.72,0.46,16.72
"World",,true,"2020","Solar",false,857.54,3.21,108.75,152.09,21.56,0.58,19.29
"World",,true,"2021","Solar",false,1054.69,3.73,132.61,197.15,22.99,0.52,24.79
"World",,true,"2022","Solar",false,1330.54,4.6,165.9,275.85,26.15,0.87,34.39
"World",,true,"2023","Solar",false,1660.19,5.6,205.2,329.65,24.78,1,40.75
"World",,true,"2024","Solar",false,2128.32,6.88,260.8,468.13,28.2,1.28,57.36
