year,generation_twh,global demand
2000,1.03,15278.69
2001,1.37,15500.42
2002,1.71,16049.61
2003,2.1,16627.73
2004,2.78,17414.66
2005,3.94,18133.84
2006,5.41,18839.01
2007,7.28,19713.95
2008,11.84,20102.47
2009,19.81,19943.44
2010,32.21,21263.61
2011,63.61,21971.91
2012,96.98,22515.71
2013,131.95,23155.24
2014,197.75,23747.12
2015,256.39,24003.18
2016,327.76,24695.32
2017,445.72,25442.69
2018,574.84,26464.95
2019,705.45,26840.66
2020,857.54,26729.31
2021,1054.69,28260.22
2022,1330.54,28919.07
2023,1660.19,29664.05
2024,2129.12,30914.83
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
