country,continent,gas_capex_region,coal_capex_region,solar_capex_region
Andorra,Europe,Non-EU Europe,Non-EU Europe,Europe
United Arab Emirates,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Afghanistan,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Antigua and Barbuda,North America,Latin America,Latin America,Central America and the Caribbean
Anguilla,North America,Latin America,Latin America,Central America and the Caribbean
Albania,Europe,Non-EU Europe,Non-EU Europe,Europe
Armenia,Asia,Non-EU Europe,Non-EU Europe,Eurasia
Netherlands Antilles,North America,Latin America,Latin America,Central America and the Caribbean
Angola,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Argentina,South America,Latin America,Latin America,Other South America
American Samoa,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Austria,Europe,Europe,Europe,Europe
Australia,Oceania,Other Pacific Asia,Other Pacific Asia,Australia
Aruba,North America,Latin America,Latin America,Central America and the Caribbean
Azerbaijan,Asia,Non-EU Europe,Non-EU Europe,Eurasia
Bosnia and Herzegovina,Europe,Non-EU Europe,Non-EU Europe,Europe
Barbados,North America,Latin America,Latin America,Central America and the Caribbean
Bangladesh,Asia,South East Asia,South East Asia,Other Asia
Belgium,Europe,Europe,Europe,Europe
Burkina Faso,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Bulgaria,Europe,Europe,Europe,Europe
Bahrain,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Burundi,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Benin,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Bermuda,North America,Latin America,Latin America,Other North America
Brunei,Asia,South East Asia,South East Asia,Other Asia
Bolivia,South America,Latin America,Latin America,Other South America
Brazil,South America,Latin America,Latin America,Brazil
Bahamas,North America,Latin America,Latin America,Central America and the Caribbean
Bhutan,Asia,South East Asia,South East Asia,Other Asia
Bouvet Island,Antarctica,Other Pacific Asia,Other Pacific Asia,Oceania
Botswana,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Belarus,Europe,Non-EU Europe,Non-EU Europe,Eurasia
Belize,North America,Latin America,Latin America,Central America and the Caribbean
Canada,North America,North America,North America,Other North America
Cocos [Keeling] Islands,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Congo [DRC],Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Central African Republic,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Congo [Republic],Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Switzerland,Europe,Non-EU Europe,Non-EU Europe,Europe
Côte d'Ivoire,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Cook Islands,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Chile,South America,Latin America,Latin America,Other South America
Cameroon,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
China,Asia,China,China,China
Colombia,South America,Latin America,Latin America,Other South America
Costa Rica,North America,Latin America,Latin America,Central America and the Caribbean
Cuba,North America,Latin America,Latin America,Central America and the Caribbean
Cape Verde,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Christmas Island,Asia,Other Pacific Asia,Other Pacific Asia,Oceania
Cyprus,Europe,Europe,Europe,Europe
Czech Republic,Europe,Europe,Europe,Europe
Germany,Europe,Europe,Europe,Germany
Djibouti,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Denmark,Europe,Europe,Europe,Europe
Dominica,North America,Latin America,Latin America,Central America and the Caribbean
Dominican Republic,North America,Latin America,Latin America,Central America and the Caribbean
Algeria,Africa,Middle East & Africa,Middle East & Africa,Africa
Ecuador,South America,Latin America,Latin America,Other South America
Estonia,Europe,Europe,Europe,Europe
Egypt,Africa,Middle East & Africa,Middle East & Africa,Africa
Western Sahara,Africa,Middle East & Africa,Middle East & Africa,Africa
Eritrea,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Spain,Europe,Europe,Europe,Spain
Ethiopia,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Finland,Europe,Europe,Europe,Europe
Fiji,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Falkland Islands [Islas Malvinas],South America,Latin America,Latin America,Other South America
Micronesia,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Faroe Islands,Europe,Non-EU Europe,Non-EU Europe,Europe
France,Europe,Europe,Europe,France
Gabon,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
United Kingdom,Europe,Non-EU Europe,Non-EU Europe,Europe
Grenada,North America,Latin America,Latin America,Central America and the Caribbean
Georgia,Asia,Non-EU Europe,Non-EU Europe,Eurasia
French Guiana,South America,Latin America,Latin America,Other South America
Guernsey,Europe,Non-EU Europe,Non-EU Europe,Europe
Ghana,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Gibraltar,Europe,Non-EU Europe,Non-EU Europe,Europe
Greenland,North America,North America,North America,Other North America
Gambia,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Guinea,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Guadeloupe,North America,Latin America,Latin America,Central America and the Caribbean
Equatorial Guinea,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Greece,Europe,Europe,Europe,Greece
South Georgia and the South Sandwich Islands,South America,Latin America,Latin America,Other South America
Guatemala,North America,Latin America,Latin America,Central America and the Caribbean
Guam,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Guinea-Bissau,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Guyana,South America,Latin America,Latin America,Other South America
Gaza Strip,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Hong Kong,Asia,Other Pacific Asia,Other Pacific Asia,Other Asia
Heard Island and McDonald Islands,Antarctica,Other Pacific Asia,Other Pacific Asia,Oceania
Honduras,North America,Latin America,Latin America,Central America and the Caribbean
Croatia,Europe,Europe,Europe,Europe
Haiti,North America,Latin America,Latin America,Central America and the Caribbean
Hungary,Europe,Europe,Europe,Europe
Indonesia,Asia,South East Asia,South East Asia,Other Asia
Ireland,Europe,Europe,Europe,Europe
Israel,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Isle of Man,Europe,Non-EU Europe,Non-EU Europe,Europe
India,Asia,India,India,India
British Indian Ocean Territory,Asia,Other Pacific Asia,Other Pacific Asia,Oceania
Iraq,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Iran,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Iceland,Europe,Non-EU Europe,Non-EU Europe,Europe
Italy,Europe,Europe,Europe,Italy
Jersey,Europe,Non-EU Europe,Non-EU Europe,Europe
Jamaica,North America,Latin America,Latin America,Central America and the Caribbean
Jordan,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Japan,Asia,Other Pacific Asia,Other Pacific Asia,Japan
Kenya,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Kyrgyzstan,Asia,Other Pacific Asia,Other Pacific Asia,Eurasia
Cambodia,Asia,South East Asia,South East Asia,Other Asia
Kiribati,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Comoros,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Saint Kitts and Nevis,North America,Latin America,Latin America,Central America and the Caribbean
North Korea,Asia,Other Pacific Asia,Other Pacific Asia,Other Asia
South Korea,Asia,Other Pacific Asia,Other Pacific Asia,Republic of Korea
Kuwait,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Cayman Islands,North America,Latin America,Latin America,Central America and the Caribbean
Kazakhstan,Asia,Other Pacific Asia,Other Pacific Asia,Eurasia
Laos,Asia,South East Asia,South East Asia,Other Asia
Lebanon,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Saint Lucia,North America,Latin America,Latin America,Central America and the Caribbean
Liechtenstein,Europe,Non-EU Europe,Non-EU Europe,Europe
Sri Lanka,Asia,South East Asia,South East Asia,Other Asia
Liberia,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Lesotho,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Lithuania,Europe,Europe,Europe,Europe
Luxembourg,Europe,Europe,Europe,Europe
Latvia,Europe,Europe,Europe,Europe
Libya,Africa,Middle East & Africa,Middle East & Africa,Africa
Morocco,Africa,Middle East & Africa,Middle East & Africa,Africa
Monaco,Europe,Non-EU Europe,Non-EU Europe,Europe
Moldova,Europe,Non-EU Europe,Non-EU Europe,Europe
Montenegro,Europe,Non-EU Europe,Non-EU Europe,Europe
Madagascar,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Marshall Islands,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Macedonia [FYROM],Europe,Non-EU Europe,Non-EU Europe,Europe
Mali,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Myanmar [Burma],Asia,South East Asia,South East Asia,Other Asia
Mongolia,Asia,Other Pacific Asia,Other Pacific Asia,Other Asia
Macau,Asia,Other Pacific Asia,Other Pacific Asia,Other Asia
Northern Mariana Islands,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Martinique,North America,Latin America,Latin America,Central America and the Caribbean
Mauritania,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Montserrat,North America,Latin America,Latin America,Central America and the Caribbean
Malta,Europe,Europe,Europe,Europe
Mauritius,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Maldives,Asia,South East Asia,South East Asia,Other Asia
Malawi,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Mexico,North America,Latin America,Latin America,Other North America
Malaysia,Asia,South East Asia,South East Asia,Other Asia
Mozambique,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Namibia,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
New Caledonia,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Niger,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Norfolk Island,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Nigeria,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Nicaragua,North America,Latin America,Latin America,Central America and the Caribbean
Netherlands,Europe,Europe,Europe,Netherlands
Norway,Europe,Non-EU Europe,Non-EU Europe,Europe
Nepal,Asia,South East Asia,South East Asia,Other Asia
Nauru,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Niue,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
New Zealand,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Oman,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Panama,North America,Latin America,Latin America,Central America and the Caribbean
Peru,South America,Latin America,Latin America,Other South America
French Polynesia,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Papua New Guinea,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Philippines,Asia,South East Asia,South East Asia,Other Asia
Pakistan,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Poland,Europe,Europe,Europe,Poland
Saint Pierre and Miquelon,North America,North America,North America,Other North America
Pitcairn Islands,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Puerto Rico,North America,Latin America,Latin America,Central America and the Caribbean
Palestinian Territories,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Portugal,Europe,Europe,Europe,Europe
Palau,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Paraguay,South America,Latin America,Latin America,Other South America
Qatar,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Réunion,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Romania,Europe,Europe,Europe,Europe
Serbia,Europe,Non-EU Europe,Non-EU Europe,Europe
Russia,Europe,Non-EU Europe,Non-EU Europe,Eurasia
Rwanda,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Saudi Arabia,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Solomon Islands,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Seychelles,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Sudan,Africa,Middle East & Africa,Middle East & Africa,Africa
Sweden,Europe,Europe,Europe,Europe
Singapore,Asia,South East Asia,South East Asia,Other Asia
Saint Helena,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Slovenia,Europe,Europe,Europe,Europe
Svalbard and Jan Mayen,Europe,Non-EU Europe,Non-EU Europe,Europe
Slovakia,Europe,Europe,Europe,Europe
Sierra Leone,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
San Marino,Europe,Non-EU Europe,Non-EU Europe,Europe
Senegal,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Somalia,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Somaliland,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Suriname,South America,Latin America,Latin America,Other South America
South Sudan,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
SÃ£o TomÃ© and PrÃ­ncipe,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
El Salvador,North America,Latin America,Latin America,Central America and the Caribbean
Syria,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Swaziland,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Turks and Caicos Islands,North America,Latin America,Latin America,Central America and the Caribbean
Chad,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
French Southern Territories,Antarctica,Other Pacific Asia,Other Pacific Asia,Africa
Togo,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Thailand,Asia,South East Asia,South East Asia,Other Asia
Tajikistan,Asia,Other Pacific Asia,Other Pacific Asia,Eurasia
Tokelau,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Timor-Leste,Asia,South East Asia,South East Asia,Other Asia
Turkmenistan,Asia,Other Pacific Asia,Other Pacific Asia,Eurasia
Tunisia,Africa,Middle East & Africa,Middle East & Africa,Africa
Tonga,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Turkey,Europe,Non-EU Europe,Non-EU Europe,Turkey
Trinidad and Tobago,North America,Latin America,Latin America,Central America and the Caribbean
Tuvalu,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Taiwan,Asia,Other Pacific Asia,Other Pacific Asia,Other Asia
Tanzania,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Ukraine,Europe,Non-EU Europe,Non-EU Europe,Eurasia
Uganda,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
United States,North America,North America,North America,United States
Uruguay,South America,Latin America,Latin America,Other South America
Uzbekistan,Asia,Other Pacific Asia,Other Pacific Asia,Eurasia
Vatican City,Europe,Non-EU Europe,Non-EU Europe,Europe
Saint Vincent and the Grenadines,North America,Latin America,Latin America,Central America and the Caribbean
Venezuela,South America,Latin America,Latin America,Other South America
British Virgin Islands,North America,Latin America,Latin America,Central America and the Caribbean
U.S. Virgin Islands,North America,Latin America,Latin America,Central America and the Caribbean
Vietnam,Asia,South East Asia,South East Asia,Other Asia
Vanuatu,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Wallis and Futuna,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Samoa,Oceania,Other Pacific Asia,Other Pacific Asia,Oceania
Kosovo,Europe,Non-EU Europe,Non-EU Europe,Europe
Yemen,Asia,Middle East & Africa,Middle East & Africa,Other Asia
Mayotte,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
South Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Zambia,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Zimbabwe,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Africa
