Result_ID,Sensitivity,Country,Year,Tech,Availability,LCOE,Cost,Solar_Capacity_MW,BESS_Energy_MWh
0,Default,Australia,2024,Solar+BESS,0.05,25.66,194442.46735999998,0.2,0.0
1,DR=0.08_LT=25,Australia,2024,Solar+BESS,0.05,41.59,194442.46735999998,0.2,0.0
2,Default,Australia,2015,Solar+BESS,0.05,66.78,548517.2569700001,0.2,0.0
3,DR=0.08_LT=25,Australia,2015,Solar+BESS,0.05,111.71,548517.2569700001,0.2,0.0
4,Default,Australia,2016,Solar+BESS,0.05,57.93,472305.69667000003,0.2,0.0
5,DR=0.08_LT=25,Australia,2016,Solar+BESS,0.05,96.61,472305.69667000003,0.2,0.0
6,Default,Australia,2017,Solar+BESS,0.05,59.2,483222.48774,0.2,0.0
7,DR=0.08_LT=25,Australia,2017,Solar+BESS,0.05,98.78,483222.48774,0.2,0.0
8,Default,Australia,2018,Solar+BESS,0.05,46.38,372818.71390000003,0.2,0.0
9,DR=0.08_LT=25,Australia,2018,Solar+BESS,0.05,76.91,372818.71390000003,0.2,0.0
10,Default,Australia,2019,Solar+BESS,0.05,38.7,306700.03591,0.2,0.0
11,DR=0.08_LT=25,Australia,2019,Solar+BESS,0.05,63.82,306700.03591,0.2,0.0
12,Default,Australia,2020,Solar+BESS,0.05,32.93,257059.53312000004,0.2,0.0
13,DR=0.08_LT=25,Australia,2020,Solar+BESS,0.05,53.99,257059.53312000004,0.2,0.0
14,Default,Australia,2021,Solar+BESS,0.05,30.88,239345.49478,0.2,0.0
15,DR=0.08_LT=25,Australia,2021,Solar+BESS,0.05,50.48,239345.49478,0.2,0.0
16,Default,Australia,2022,Solar+BESS,0.05,26.52,201857.64620000002,0.2,0.0
17,DR=0.08_LT=25,Australia,2022,Solar+BESS,0.05,43.06,201857.64620000002,0.2,0.0
18,Default,Australia,2023,Solar+BESS,0.05,27.29,208448.91628,0.2,0.0
19,DR=0.08_LT=25,Australia,2023,Solar+BESS,0.05,44.36,208448.91628,0.2,0.0
20,Default,Australia,2015,Coal,0.05,306.73699521007103,1690307.1428571434,,
21,DR=0.08_LT=25,Australia,2015,Coal,0.05,456.6024817286775,1690307.1428571434,,
22,Default,Australia,2016,Coal,0.05,308.88112311704776,1690307.1428571434,,
23,DR=0.08_LT=25,Australia,2016,Coal,0.05,458.74660963565424,1690307.1428571434,,
24,Default,Australia,2017,Coal,0.05,317.73684404728033,1690307.1428571434,,
25,DR=0.08_LT=25,Australia,2017,Coal,0.05,467.6023305658868,1690307.1428571434,,
26,Default,Australia,2018,Coal,0.05,309.7100649775129,1690307.1428571434,,
27,DR=0.08_LT=25,Australia,2018,Coal,0.05,459.5755514961193,1690307.1428571434,,
28,Default,Australia,2019,Coal,0.05,303.8192161403036,1690307.1428571434,,
29,DR=0.08_LT=25,Australia,2019,Coal,0.05,453.6847026589101,1690307.1428571434,,
30,Default,Australia,2020,Coal,0.05,300.50771846588503,1690307.1428571434,,
31,DR=0.08_LT=25,Australia,2020,Coal,0.05,450.37320498449145,1690307.1428571434,,
32,Default,Australia,2021,Coal,0.05,313.9414798612338,1690307.1428571434,,
33,DR=0.08_LT=25,Australia,2021,Coal,0.05,463.8069663798403,1690307.1428571434,,
34,Default,Australia,2022,Coal,0.05,345.7678673030943,1690307.1428571434,,
35,DR=0.08_LT=25,Australia,2022,Coal,0.05,495.6333538217008,1690307.1428571434,,
36,Default,Australia,2023,Coal,0.05,321.03529695425715,1690307.1428571434,,
37,DR=0.08_LT=25,Australia,2023,Coal,0.05,470.90078347286357,1690307.1428571434,,
