Result_ID,Country,Year,Tech,Availability,Component,Value
0,United Kingdom,2024,Wind+BESS,0.05,Wind CAPEX,62.63075144380064
0,United Kingdom,2024,Wind+BESS,0.05,BESS Energy CAPEX,0.0
0,United Kingdom,2024,Wind+BESS,0.05,BESS Power CAPEX,0.0
0,United Kingdom,2024,Wind+BESS,0.05,Augmentation,0.0
0,United Kingdom,2024,Wind+BESS,0.05,Opex,23.44569863013698
0,United Kingdom,2024,Wind+BESS,0.05,Total,86.07645007393762
0,United Kingdom,2030,Wind+BESS,0.05,Wind CAPEX,50.00095985133057
0,United Kingdom,2030,Wind+BESS,0.05,BESS Energy CAPEX,0.0
0,United Kingdom,2030,Wind+BESS,0.05,BESS Power CAPEX,0.0
0,United Kingdom,2030,Wind+BESS,0.05,Augmentation,0.0
0,United Kingdom,2030,Wind+BESS,0.05,Opex,23.44569863013698
0,United Kingdom,2030,Wind+BESS,0.05,Total,73.44665848146755
2,United Kingdom,2024,Wind+BESS,0.1,Wind CAPEX,59.15126525247838
2,United Kingdom,2024,Wind+BESS,0.1,BESS Energy CAPEX,0.0
2,United Kingdom,2024,Wind+BESS,0.1,BESS Power CAPEX,0.0
2,United Kingdom,2024,Wind+BESS,0.1,Augmentation,0.0
2,United Kingdom,2024,Wind+BESS,0.1,Opex,22.1671598173516
2,United Kingdom,2024,Wind+BESS,0.1,Total,81.31842506982998
2,United Kingdom,2030,Wind+BESS,0.1,Wind CAPEX,47.22312874847888
2,United Kingdom,2030,Wind+BESS,0.1,BESS Energy CAPEX,0.0
2,United Kingdom,2030,Wind+BESS,0.1,BESS Power CAPEX,0.0
2,United Kingdom,2030,Wind+BESS,0.1,Augmentation,0.0
2,United Kingdom,2030,Wind+BESS,0.1,Opex,22.1671598173516
2,United Kingdom,2030,Wind+BESS,0.1,Total,69.39028856583047
4,United Kingdom,2024,Wind+BESS,0.15,Wind CAPEX,60.31109398291914
4,United Kingdom,2024,Wind+BESS,0.15,BESS Energy CAPEX,0.0
4,United Kingdom,2024,Wind+BESS,0.15,BESS Power CAPEX,0.0
4,United Kingdom,2024,Wind+BESS,0.15,Augmentation,0.0
4,United Kingdom,2024,Wind+BESS,0.15,Opex,22.593339421613393
4,United Kingdom,2024,Wind+BESS,0.15,Total,82.90443340453254
4,United Kingdom,2030,Wind+BESS,0.15,Wind CAPEX,48.14907244942944
4,United Kingdom,2030,Wind+BESS,0.15,BESS Energy CAPEX,0.0
4,United Kingdom,2030,Wind+BESS,0.15,BESS Power CAPEX,0.0
4,United Kingdom,2030,Wind+BESS,0.15,Augmentation,0.0
4,United Kingdom,2030,Wind+BESS,0.15,Opex,22.593339421613393
4,United Kingdom,2030,Wind+BESS,0.15,Total,70.74241187104283
6,United Kingdom,2024,Wind+BESS,0.2,Wind CAPEX,59.15126525247838
6,United Kingdom,2024,Wind+BESS,0.2,BESS Energy CAPEX,0.0
6,United Kingdom,2024,Wind+BESS,0.2,BESS Power CAPEX,0.0
6,United Kingdom,2024,Wind+BESS,0.2,Augmentation,0.0
6,United Kingdom,2024,Wind+BESS,0.2,Opex,22.1671598173516
6,United Kingdom,2024,Wind+BESS,0.2,Total,81.31842506982998
6,United Kingdom,2030,Wind+BESS,0.2,Wind CAPEX,47.22312874847888
6,United Kingdom,2030,Wind+BESS,0.2,BESS Energy CAPEX,0.0
6,United Kingdom,2030,Wind+BESS,0.2,BESS Power CAPEX,0.0
6,United Kingdom,2030,Wind+BESS,0.2,Augmentation,0.0
6,United Kingdom,2030,Wind+BESS,0.2,Opex,22.1671598173516
6,United Kingdom,2030,Wind+BESS,0.2,Total,69.39028856583047
8,United Kingdom,2024,Wind+BESS,0.25,Wind CAPEX,59.84716249074284
8,United Kingdom,2024,Wind+BESS,0.25,BESS Energy CAPEX,0.0
8,United Kingdom,2024,Wind+BESS,0.25,BESS Power CAPEX,0.0
