Result_ID,Country,Year,Tech,Availability,LCOE,Total_Capex,Renewable_Capacity_MW,BESS_Energy_MWh,BESS_Power_MW
0,United Kingdom,2024,Wind+BESS,0.05,86.08,316260.0,0.09,0.0,0.0
0,United Kingdom,2030,Wind+BESS,0.05,73.45,252484.6532740595,0.09,0.0,0.0
2,United Kingdom,2024,Wind+BESS,0.1,81.32,597380.0,0.17,0.0,0.0
2,United Kingdom,2030,Wind+BESS,0.1,69.39,476915.4561843347,0.17,0.0,0.0
4,United Kingdom,2024,Wind+BESS,0.15,82.9,913640.0,0.26,0.0,0.0
4,United Kingdom,2030,Wind+BESS,0.15,70.74,729400.1094583941,0.26,0.0,0.0
6,United Kingdom,2024,Wind+BESS,0.2,81.32,1194760.0,0.34,0.0,0.0
6,United Kingdom,2030,Wind+BESS,0.2,69.39,953830.9123686694,0.34,0.0,0.0
8,United Kingdom,2024,Wind+BESS,0.25,82.27,1511020.0,0.43,0.0,0.0
8,United Kingdom,2030,Wind+BESS,0.25,70.2,1206315.565642729,0.43,0.0,0.0
10,United Kingdom,2024,Wind+BESS,0.3,81.32,1792140.0,0.51,0.0,0.0
10,United Kingdom,2030,Wind+BESS,0.3,69.39,1430746.368553004,0.51,0.0,0.0
12,United Kingdom,2024,Wind+BESS,0.35,82.0,2108400.0,0.6,0.0,0.0
12,United Kingdom,2030,Wind+BESS,0.35,69.97,1683231.0218270633,0.6,0.0,0.0
14,United Kingdom,2024,Wind+BESS,0.4,81.32,2389520.0,0.68,0.0,0.0
14,United Kingdom,2030,Wind+BESS,0.4,69.39,1907661.8247373388,0.68,0.0,0.0
16,United Kingdom,2024,Wind+BESS,0.45,81.85,2705780.0,0.77,0.0,0.0
16,United Kingdom,2030,Wind+BESS,0.45,69.84,2160146.478011398,0.77,0.0,0.0
18,United Kingdom,2024,Wind+BESS,0.5,81.32,2986900.0,0.85,0.0,0.0
18,United Kingdom,2030,Wind+BESS,0.5,69.39,2384577.2809216734,0.85,0.0,0.0
20,United Kingdom,2024,Wind+BESS,0.55,81.75,3303160.0,0.94,0.0,0.0
20,United Kingdom,2030,Wind+BESS,0.55,69.76,2637061.9341957327,0.94,0.0,0.0
22,United Kingdom,2024,Wind+BESS,0.6,81.32,3584280.0,1.02,0.0,0.0
22,United Kingdom,2030,Wind+BESS,0.6,69.39,2861492.737106008,1.02,0.0,0.0
24,United Kingdom,2024,Wind+BESS,0.65,83.88,4005959.9999999995,1.14,0.0,-0.0
24,United Kingdom,2030,Wind+BESS,0.65,71.57,3198138.94147142,1.14,0.0,-0.0
26,United Kingdom,2024,Wind+BESS,0.7,89.23,4597506.048407444,1.3,0.22,0.02
26,United Kingdom,2030,Wind+BESS,0.7,76.12,3670686.190393803,1.3,0.22,0.02
28,United Kingdom,2024,Wind+BESS,0.75,96.11,5365596.435590126,1.45,2.17,0.15
28,United Kingdom,2030,Wind+BESS,0.75,81.95,4292894.067274499,1.45,2.17,0.15
30,United Kingdom,2024,Wind+BESS,0.8,104.6,6316150.045813597,1.61,5.4,0.34
30,United Kingdom,2030,Wind+BESS,0.8,89.17,5070021.255268794,1.61,5.4,0.34
32,United Kingdom,2024,Wind+BESS,0.85,115.13,7500647.0464487765,1.79,10.25,0.55
32,United Kingdom,2030,Wind+BESS,0.85,98.27,6053164.71014574,1.79,10.25,0.55
34,United Kingdom,2024,Wind+BESS,0.9,128.61,9047824.86510844,1.98,18.55,0.75
34,United Kingdom,2030,Wind+BESS,0.9,110.2,7373995.400183838,1.98,18.55,0.75
36,United Kingdom,2024,Wind+BESS,0.95,151.8,11378263.96386507,2.39,27.03,0.94
36,United Kingdom,2030,Wind+BESS,0.95,130.38,9323499.439190703,2.39,27.03,0.94
38,United Kingdom,2024,Wind+BESS,1.0,251.2,20434334.545563083,3.73,71.31,1.22
38,United Kingdom,2030,Wind+BESS,1.0,218.32,17112984.12580646,3.73,71.31,1.22
40,United Kingdom,2024,Solar+BESS,0.05,64.74,296020.0,0.38,0.0,0.0
40,United Kingdom,2030,Solar+BESS,0.05,32.46,133038.88372093023,0.38,0.0,0.0
42,United Kingdom,2024,Solar+BESS,0.1,64.74,592040.0,0.76,0.0,0.0
42,United Kingdom,2030,Solar+BESS,0.1,32.46,266077.76744186046,0.76,0.0,0.0
44,United Kingdom,2024,Solar+BESS,0.15,64.74,888060.0,1.14,0.0,0.0
44,United Kingdom,2030,Solar+BESS,0.15,32.46,399116.6511627906,1.14,0.0,0.0
