2025-12-07 20:27:42,448 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:42,463 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:42,568 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:42,582 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:42,687 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:42,701 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:42,811 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:42,825 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:42,925 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:42,940 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:43,040 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:43,054 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:43,151 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:43,164 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:43,268 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:43,282 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:43,385 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:43,400 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:43,503 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:27:43,517 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:27:43,566 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:43,655 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:43,744 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:43,833 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:43,926 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:44,017 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:44,105 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:44,196 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:44,288 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:44,376 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:27:44,466 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:44,562 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:44,656 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:44,753 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:44,840 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:44,958 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:45,048 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:45,135 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:45,225 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:27:45,315 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:06,350 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:06,366 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:06,471 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:06,485 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:06,597 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:06,614 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:06,726 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:06,743 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:06,858 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:06,871 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:06,969 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:06,983 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:07,086 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:07,101 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:07,206 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:07,217 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:07,339 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:07,352 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:07,472 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:07,485 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:07,537 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:07,636 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:07,738 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:07,843 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:07,936 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,025 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,115 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,208 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,302 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,397 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,511 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,603 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,692 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,789 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,888 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,997 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:09,089 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:09,184 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:09,278 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
